routeid,stopid,estimatetime,goback
17700,187050,-3,3
19068,212689,-3,3
19068,212685,-3,3
19068,212686,-3,3
19068,212687,-3,3
19068,212688,-3,3
17700,187059,-3,3
17013,163068,-3,3
17013,163069,-3,3
17013,163066,-3,3
17700,187055,-3,3
17013,163067,-3,3
17700,187056,-3,3
17013,163064,-3,3
17700,187057,-3,3
17013,163065,-3,3
17700,187058,-3,3
17013,163073,-3,3
17700,187062,-3,3
17013,163074,-3,3
17700,187063,-3,3
17013,163071,-3,3
17700,187064,-3,3
17013,163072,-3,3
17700,187065,-3,3
17013,163070,-3,3
17700,187060,-3,3
17700,187061,-3,3
19068,212696,-3,3
19068,212697,-3,3
19068,212698,-3,3
19068,212699,-3,3
17700,187028,-3,3
17700,187029,-3,3
16777,187022,-3,3
17013,163099,-3,3
16777,187023,-3,3
16777,187024,288,0
17013,163097,-3,3
17013,163098,-3,3
17700,187030,-3,3
17700,187031,-3,3
17700,187032,-3,3
17700,187037,-3,3
17700,187038,-3,3
17700,187039,-3,3
17013,163088,-3,3
17700,187033,-3,3
17013,163089,-3,3
17700,187034,-3,3
17013,163086,-3,3
17700,187035,-3,3
17013,163087,-3,3
17700,187036,-3,3
17013,163095,-3,3
17700,187040,-3,3
17013,163096,-3,3
17700,187041,-3,3
17013,163093,-3,3
17700,187042,-3,3
17013,163094,-3,3
17700,187043,-3,3
17013,163091,-3,3
17013,163092,-3,3
17013,163090,-3,3
17500,177681,521,0
17500,177682,644,0
17500,177680,437,0
16752,187008,5677,2
16547,187004,35,1
16752,187005,3789,2
16752,187006,5597,2
16752,187007,5624,2
16538,187000,-3,3
16531,187001,-3,3
16531,187002,-3,3
16547,187003,2036,2
16581,138084,77,0
16581,138085,161,0
16581,138082,483,0
16581,138083,549,0
16581,138080,248,0
16581,138081,328,0
17500,177678,366,0
17500,177679,403,0
17500,177676,232,0
17500,177677,330,0
16581,138088,433,0
17500,177674,164,0
16581,138089,490,0
17500,177675,186,0
16581,138086,215,0
17500,177672,55,0
16581,138087,374,0
17500,177673,77,0
17500,177670,-3,3
17500,177671,-3,3
16774,187019,2731,0
16772,187016,2837,2
16772,187017,2855,2
16774,187018,2703,0
16760,187011,-3,3
16760,187012,-3,3
16760,187013,-3,3
16760,187014,1007,0
16581,138095,810,0
16581,138096,842,0
16581,138093,732,0
16777,187020,3430,2
16581,138094,750,0
16777,187021,-3,3
16581,138091,634,0
16581,138092,688,0
17500,177669,-3,3
17500,177667,-3,3
17500,177668,-3,3
17500,177665,-3,3
17500,177666,-3,3
17500,177663,-3,3
16581,138099,1181,0
17500,177664,-3,3
16581,138097,894,0
17500,177661,-3,3
17500,177662,-3,3
16581,138098,1136,0
17013,163059,-3,3
17013,163057,-3,3
17013,163058,-3,3
17013,163055,-3,3
17013,163056,-3,3
17013,163053,-3,3
17013,163054,-3,3
17013,163062,-3,3
17013,163063,-3,3
17013,163060,-3,3
17013,163061,-3,3
17501,177698,-3,3
17501,177699,-3,3
17501,177696,-3,3
17501,177697,-3,3
17501,177695,-3,3
17500,177690,1026,0
17013,163048,-3,3
17013,163049,-3,3
17013,163046,-3,3
17013,163047,-3,3
17013,163051,-3,3
17013,163052,-3,3
17013,163050,-3,3
17500,177689,950,0
17500,177687,886,0
17500,177688,937,0
17500,177685,826,0
17500,177686,852,0
17500,177683,699,0
17500,177684,784,0
19068,212708,-3,3
19068,212709,-3,3
19068,212704,-3,3
19068,212705,-3,3
19068,212706,-3,3
19068,212707,-3,3
19068,212700,-3,3
19068,212701,-3,3
19068,212702,-3,3
19068,212703,-3,3
19068,212719,-3,3
19068,212715,-3,3
19068,212716,-3,3
19068,212717,-3,3
19068,212718,-3,3
19068,212711,-3,3
19068,212712,-3,3
19068,212713,-3,3
19068,212714,-3,3
19068,212710,-3,3
19068,212726,-3,3
19068,212727,-3,3
19068,212728,-3,3
19068,212729,-3,3
19068,212722,-3,3
19068,212723,-3,3
19068,212725,-3,3
19068,212720,-3,3
19068,212721,-3,3
17942,212737,-3,3
17942,212738,-3,3
17942,212739,-3,3
17720,212733,-3,3
17720,212734,-3,3
17720,212735,-3,3
17720,212736,-3,3
16515,177539,1706,0
10491,177537,789,1
16515,177538,1644,0
17942,212740,-3,3
17942,212741,-3,3
16635,212760,350,0
16635,212761,389,0
16635,212759,227,0
16635,212755,-1,2
16635,212756,75,0
16635,212757,155,0
16635,212758,198,0
16635,212753,-1,2
16635,212754,-1,2
16635,212770,690,1
16635,212771,62,1
16635,212772,120,1
16635,212766,801,1
16635,212767,177,1
16635,212768,524,1
16635,212769,589,1
16635,212762,419,0
16635,212763,574,0
16635,212764,384,0
16635,212765,728,1
16726,212780,-3,3
16726,212781,646,1
16726,212782,1392,1
16726,212783,1418,1
16635,212777,54,1
16635,212778,174,1
